ID;site_abbreviation;fonction_nom;obj_nom;nouvelle_categorie;obj_nmi;materiau_nom;depot_nom;obj_remarque;typeSep_nom;defunt_genre;defunt_age;defunt_classe_age;phase_date_debut;phase_date_fin;province_nom;us_nom;obj_typologie;obj_longueur;obj_hauteur
1018;STL;parure, vêtement;clou de chaussure;clou de chaussure;1;fer;dépôt primaire de mobilier;intérieur de l'urne;crémation secondaire à urne;indéterminé;;adulte;-27;300;Gaule Narbonnaise;T203;;;
1019;STL;parure, vêtement;clou de chaussure;clou de chaussure;5;fer;dépôt primaire de mobilier;;crémation secondaire mixte;indéterminé;;adulte;-27;70;Gaule Narbonnaise;T213;;;
1020;STL;parure, vêtement;clou de chaussure;clou de chaussure;1;fer;dépôt primaire de mobilier;dans le résidu de crémation;crémation secondaire mixte;indéterminé;;adulte;-27;70;Gaule Narbonnaise;T213;;;
1021;STL;parure, vêtement;clou de chaussure;clou de chaussure;15;fer;dépôt primaire de mobilier;dans le résidu de crémation;crémation secondaire mixte;indéterminé;;adulte;-27;14;Gaule Narbonnaise;T215;;;
1022;STL;parure, vêtement;clou de chaussure;clou de chaussure;39;fer;dépôt primaire de mobilier;intérieur de l'urne;crémation secondaire mixte;indéterminé;;adulte;-27;14;Gaule Narbonnaise;T215;;;
1023;STL;parure, vêtement;clou de chaussure;clou de chaussure;22;fer;dépôt primaire de mobilier;dans le résidu de crémation;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T220;;max. 19;
1024;STL;parure, vêtement;clou de chaussure;clou de chaussure;31;fer;dépôt primaire de mobilier;intérieur de l'urne;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T220;;max. 19,5;
1025;STL;parure, vêtement;clou de chaussure;clou de chaussure;3;fer;dépôt primaire de mobilier;dans la fosse;crémation secondaire à urne;indéterminé;;adulte;-27;70;Gaule Narbonnaise;T222;;;
1026;STL;toilette, hygiène;strigile;strigile;1;alliage cuivreux;dépôt secondaire de mobilier;dans un loculus au fond de la fosse;crémation secondaire en fosse;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T243;;210;
1027;STL;ameublement;applique décorative;ameublement;1;alliage cuivreux;dépôt primaire de mobilier;dans le résidu de crémation;crémation secondaire en fosse;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T243;;17;9
1028;STL;parure, vêtement;clou de chaussure;clou de chaussure;29;fer;dépôt primaire de mobilier;dans le résidu de crémation;crémation secondaire mixte;indéterminé;;adulte;14;37;Gaule Narbonnaise;T250;;;
1029;STL;parure, vêtement;clou de chaussure;clou de chaussure;15;fer;modalité de dépôt inconnue;dans le comblement de la fosse;crémation secondaire mixte;indéterminé;;adulte;14;37;Gaule Narbonnaise;T250;;;
1030;STL;parure, vêtement;clou de chaussure;clou de chaussure;3;fer;dépôt primaire de mobilier;dans le bustum;crémation primaire indéterminée;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T253;;;
